ProductCode;Name;Category;Brand;Type;FixedAssetType;CostingMethod;Length;Width;Height;Weight;WeightUnits;DimensionUnits;Barcode;MinimumBeforeReorder;ReorderQuantity;DefaultLocation;LastSuppliedBy;SupplierProductCode;SupplierProductName;SupplierFixedPrice;PriceTier1;PriceTier2;PriceTier3;PriceTier4;PriceTier5;PriceTier6;PriceTier7;PriceTier8;PriceTier9;PriceTier10;AssemblyBOM;AutoAssembly;AutoDisassemble;DropShip;AverageCost;DefaultUnitOfMeasure;InventoryAccount;RevenueAccount;ExpenseAccount;COGSAccount;ProductAttributeSet;AdditionalAttribute1;AdditionalAttribute2;AdditionalAttribute3;AdditionalAttribute4;AdditionalAttribute5;AdditionalAttribute6;AdditionalAttribute7;AdditionalAttribute8;AdditionalAttribute9;AdditionalAttribute10;DiscountName;ProductFamilySKU;ProductFamilyName;ProductFamilyOption1Name;ProductFamilyOption1Value;ProductFamilyOption2Name;ProductFamilyOption2Value;ProductFamilyOption3Name;ProductFamilyOption3Value;CommaDelimitedTags;StockLocator;PurchaseTaxRule;SaleTaxRule;Status;Description;ShortDescription;Sellable;PickZones;AlwaysShowQuantity;WarrantySetupName;InternalNote;ProductionBOM;MakeToOrderBom;QuantityToProduce
P70171;Twistee, Baloon Dog Figurines ;Ornaments and Objects;Primavera;Stock;;FIFO;160;60;160;;kg;cm;;0;0;Primavera Location: Warehouse;;YS-02413;Decoration(S);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70431;Magazine Rack;Ornaments and Objects;Primavera;Stock;;FIFO;425;190;330;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03161;Magazine Rack;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70191S2;LushBubble, Jar;Ornaments and Objects;Primavera;Stock;;FIFO;110;110;120;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03205;Decorative Box(L);0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70419S2;BasaNova Duo, Jars;Ornaments and Objects;Primavera;Stock;;FIFO;150;150;260;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03113;Decorative Box;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70444;Ludwig, Jar;Ornaments and Objects;Primavera;Stock;;FIFO;235;235;560;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03579(Z);Storage Jar;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70445;DiaDora, Jewel Box;Ornaments and Objects;Primavera;Stock;;FIFO;170;100;220;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03070;Jewel Box;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70446;Cicada, Decorative Box;Ornaments and Objects;Primavera;Stock;;FIFO;140;130;70;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03571;Decorative Box;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70181S2;AmiRoseGlow, Jars ;Ornaments and Objects;Primavera;Stock;;FIFO;118;118;185;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03117;Decorative Box;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70447;Ella, Decorative Box;Ornaments and Objects;Primavera;Stock;;FIFO;118;118;85;;kg;cm;;0;0;Primavera Location: Warehouse;;ZH-03118;Decorative Box;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
P70448S2;AuroralRoseate, Candle Holder Set;Ornaments and Objects;Primavera;Stock;;FIFO;200;195;410;;kg;cm;;0;0;Primavera Location: Warehouse;;TW-11075;Candle Holder;0;;;;;0;0;0;0;0;0;No;No;No;No Drop Ship;;Item;Inventory Control;Sales - Ornaments and Objects;;COS - Ornaments and Objects;Product Set Accessories;Accessories;;;;;;;;;;;;;;;;;;;;;Products and Goods Imported;Standard Rate Sales;ACTIVE;;;Yes;;0;;;No;No;1
